;BERT;DistilBERT;Gold_1;Gold_2;BERT_METEOR;DistilBERT_METEOR;BERT_GLEU;DistilBERT_GLEU;JUDGE;
4936;his own;sean fennessey;he followed his own path.;;0,380357477;0;0,214285714;0;0;
3491;# restartlhc splash;restartlhc splash events;#restartlhc;;0;0;0,333333333;0,166666667;1;
10066;the office of the president;the president;office of the president;;0,870068772;0,46546509;0,714285714;0,3;0;
4760;sand bags;sand bags;sand bags;;0,842491812;0,842491812;1;1;1;
5200;nobel prize;nobel prize;a noble price;;0;0;0;0;;F
2265;white hart lane;swansea city fc;white hart lane;;0,88750133;0;1;0;1;
3354;smiles;a 2003 in touch;she smiles;;0,397790055;0;0,333333333;0;0;
5832;sound check;sound check;a sound check;;0,5996383;0,5996383;0,5;0,5;0;
802;casting zoe saldana and darkening her skin;casting zoe saldana and darkening her skin;darkening skin;darkening zoe saldana's skin;0,488135593;0,488135593;0,136363636;0,136363636;0;
7168;stopping the perpetrator;stopping the perpetrator and 2 - empowering the victims;stopping the perpetrator.;;0,561661208;0,347826087;1;0,230769231;1;
314;tom hiddleston;tom hiddleston;tom hiddleston;tim hiddleston;0,842491812;0,842491812;1;1;1;
1249;pro - putin;pro - putin;putin.;;0;0;0,333333333;0,333333333;1;
2343;2022;2022;2022;;0,72;0,72;1;1;1;
6548;empire state building;empire state building;the empire state building.;;0,44225292;0,44225292;0,6;0,6;1;
3056;more affordable health care;what matters in long run is better , more affordable health care for americans;health care;;0,707976313;0,393687763;0,3;0,065217391;0;
865;#NAME?;west;bette midler;bettemidler;0;0;1;0;1;
4042;rose mcgowan;rose mcgowan;hollywood.;;0;0;0;0;;C
1211;2;2;2 hours;;0,397790055;0,397790055;0,333333333;0,333333333;0;
1672;#NAME?;mrbradgoreski;kathy griffin, guilana rancic and kelly osbourne;;0;0;0;0;;C
6585;royalsegolene;"royalsegolene : "" we have the solutions to # climatechange";unfccc un climate change;;0;0;0;0;;C
126;a sweet coffee prize pack;sweet coffee prize pack;coffee;coffee prize pack;0,409090909;0,458598726;0,428571429;0,6;1;
1029;caitlyn;caitlyn;caitlyn;;0,72;0,72;1;1;1;
9867;using # biggie20;using # biggie20 !;using biggie20;;0,657534247;0,605042017;1;1;1;
6524;russia;russia;russia;;0,72;0,72;1;1;1;
1634;# mynypd;the internet;#mynypd;;0;0;1;0;1;
5902;marty kudelka;marty kudelka;marty kudelka;;0,842491812;0,842491812;1;1;1;
5121;greysanatomy;greysanatomy;grey's anatomy;;0;0;0;0;;F
6261;judgement and critique;judgement and critique;judgement.;;0;0;0,166666667;0,166666667;1;
7322;# teameurope;# teameurope;team europe;;0;0;0;0;;F
8781;the people of texas;the people of texas;people of texas;;0,834640749;0,834640749;0,6;0,6;0;
1945;neil patrick harris;davidburtka;david burtka.;;0;0;0;0;;F
5880;emmy;emmy;an emmy;;0,397790055;0,397790055;0,333333333;0,333333333;0;
3481;mallory daniel;kendall jenner;she has  her  husband with her;;0;0;0;0;;C
5476;sexy;sexy;sexy;;0,72;0,72;1;1;1;
6769;over 2000;over 2000;2000;;0,605042017;0,605042017;0,333333333;0,333333333;0;
2713;nieto;pres nieto;president nieto;;0,397790055;0,36;0,333333333;0,333333333;0;
9322;122 minutes;122 minutes;on 122 minutes;;0,5996383;0,5996383;0,5;0,5;0;
6620;all the wonderful wishes;all the wonderful wishes;all the wonderful wishes.;;0,665625997;0,665625997;1;1;1;
5480;january 1 , 2016;january 1 , 2016;some time today;;0;0;0;0;;C
4759;israel;throughout # israel;israel;;0,72;0,52173913;1;0,333333333;1;
8524;12 weeks;12 weeks;12 weeks;;0,842491812;0,842491812;1;1;1;
10986;up;kitten sweeet friend going up or down the stairs ? # upordown # sweeet mcvitie;a kitten;;0;0,161073826;0;0,023809524;0;
5811;love yourself crazy talented;love yourself crazy talented;love yourelf;;0,302521008;0,302521008;0,1;0,1;0;
5022;# religiousfreedomact;# religiousfreedomact;the religious freedom act.;;0;0;0;0;;F
2595;90;90;90% chance.;;0;0;0,333333333;0,333333333;1;
7669;her husband;her husband;hillaryclinton's husband.;;0;0;0,333333333;0,333333333;1;
6324;100;100;100;;0,72;0,72;1;1;1;
379;red;red wednesday;red;red;0,72;0,605042017;1;0,333333333;1;
4259;change;change;they will change;;0,27480916;0,27480916;0,166666667;0,166666667;0;
327;artists;artists;artists;history of amazing artists;0,72;0,72;1;1;1;
2862;cartoonist;cartoonist;a cartoonist;;0,397790055;0,397790055;0,333333333;0,333333333;0;
2357;it took blue being born;it took blue being born;blue's birth.;;0;0;0;0;;F
7558;booing;booing;booing;;0,72;0,72;1;1;1;
3728;israeli;israeli;israel;;0;0;0;0;;F
2173;qatar are taking the situation seriously;qatar are taking the situation seriously;the situation of fifa and qatar.;;0,280830604;0,280830604;0,222222222;0,222222222;0;
6796;where eusebio used to come all the time;where eusebio used to come all the time;eusebio;;0,309012876;0,309012876;0,038461538;0,038461538;0;
5731;vote and to protest;vote and to protest;vote and protest;;0,752363097;0,752363097;0,4;0,4;0;
2641;the best of us;the best of us;the best of us;;0,911397038;0,911397038;1;1;1;
9287;a person convicted of brutal rape , murder;a person convicted of brutal rape , murder;a person convicted of brutal rape, murder;;0,740613071;0,740613071;1;1;1;
128;light;darkness cannot drive out darkness ;;;;;;;;
6781;cops no lawyer;the cops no lawyer;the police;;0;0,302521008;0;0,1;0;
6519;strong mind;strong mind;a mind;;0,36;0,36;0,333333333;0,333333333;0;
5248;second period;second period;second period;;0,842491812;0,842491812;1;1;1;
9172;so we can descend en masse;so we can descend en masse;they can descend en masse;;0,702425463;0,702425463;0,555555556;0,555555556;0;
6020;happy;happy;happy.;;0;0;1;1;1;
7138;betty white;betty white dying;betty white.;;0,36;0,328767123;1;0,5;1;
6607;* you;* you *;you.;;0;0;1;1;1;
5167;thank you;thank you;thank you;;0,842491812;0,842491812;1;1;1;
6915;3 inches;3 inches;3 inches.;;0,36;0,36;1;1;1;
7157;putin;putin;putin;;0,72;0,72;1;1;1;
2205;lebron;lebron;lebron;;0,72;0,72;1;1;1;
1151;8%;8%;8 percent;;0,36;0,36;0,333333333;0,333333333;0;
4874;a robot;a robot;a robot;;0,842491812;0,842491812;1;1;1;
2281;bringing a son into this world;bringing a son;bringing a son into the world;;0,724268038;0,490332226;0,611111111;0,333333333;0;
10576;inclusiveness and unity;inclusiveness and unity;inclusiveness;;0,52173913;0,52173913;0,166666667;0,166666667;0;
3654;davidbeckham;davidbeckham;david beckham;;0;0;0;0;;F
8352;a studio needs to pick up @ azizansari ' s # ghostplane immediately;a studio needs to pick up @ azizansari ' s # ghostplane immediately . if not we ' ll just make a kickstarter;a studio.;;0,17603912;0,120200334;0,088235294;0,045454545;0;
3660;albert breer;albert breer @ albertbreerfree - agent qb josh mccown wrapped up his visit with the jets;the jets;;0;0,361584469;0;0,06;1;
7706;syrian refugees;syrian refugees;syrian refugees;;0,842491812;0,842491812;1;1;1;
6070;right;right;left;;0;0;0;0;;C
4529;oldham;oldham 2;oldham;;0,72;0,605042017;1;0,333333333;0;
6948;ice cream;dippin dots is not the ice cream;dipping dots is always the answer!;;0;0,387728317;0;0,181818182;0;
500;mindy kaling;mindy kaling;mindy kaling;mindy kaling;0,842491812;0,842491812;1;1;1;
5852;media;media;the media;;0,397790055;0,397790055;0,333333333;0,333333333;0;
9620;abe vigoda;abe vigoda;abe vegoda;;0,36;0,36;0,333333333;0,333333333;0;
1615;philly;philly;philly;;0,72;0,72;1;1;1;
9106;. . . people;. . . people;like people;;0,302521008;0,302521008;0,333333333;0,333333333;1;
3739;led and served our country;led and served our country;he has lead and served our country;;0,699680588;0,699680588;0,454545455;0,454545455;0;
5095;anna kendrick;anna kendrick;anna kendrick;;0,842491812;0,842491812;1;1;1;
3991;#NAME?;mecookiemonster;#NAME?;;0;0;1;0;1;
7488;#NAME?;mrjoncryer;mr. jon cryer;;0;0;0;0;;F
6818;when you ' re like i have nothing to wear;lol kim kardashian west;lol;;0;0,458598726;0;0,1;0;
3583;his rocking horse;his rocking horse;rocking horse;;0,769398915;0,769398915;0,5;0,5;0;
10653;right shoulder;right shoulder;right shoulder;;0,842491812;0,842491812;1;1;1;
6786;unimaginable;unimaginable;unimaginable;;0,72;0,72;1;1;1;
1213;chris paul and blake griffin;chris paul and blake griffin;chris paul and blake griffin;;0,926377099;0,926377099;1;1;1;
896;blackpanther;sonia;a black panther;#blackpanther;0;0;0;0;;F
4298;monday morning;monday morning;monday morning;;0,842491812;0,842491812;1;1;1;
3102;spoiler . . . @ chrishemsworth;chrishemsworth;chris hemsworth;;0;0;0;0;;F
6489;the families;the families;families;;0,605042017;0,605042017;0,333333333;0,333333333;0;
